timestamp_ns,time_s,center_row_px,center_col_px,tracked
1788946139768801207,18.272075742000002,548.5,424.0,1
1788946139804776640,18.308051175000003,548.5,424.5,1
1788946139837092989,18.340367524,548.5,424.5,1
1788946139868960073,18.372234608,548.5,424.5,1
1788946139905003162,18.408277697000003,548.5,424.5,1
1788946139937058815,18.44033335,548.5,424.5,1
1788946139969068107,18.472342642,548.5,424.5,1
1788946140004967594,18.508242129000003,548.0,424.5,1
1788946140037134679,18.540409214,548.0,424.5,1
1788946140069018886,18.572293421,547.5,424.5,1
1788946140104980647,18.608255182,547.5,424.5,1
1788946140137107975,18.640382510000002,547.5,424.5,1
1788946140169054237,18.672328772,547.5,424.5,1
1788946140204899086,18.708173621,547.5,424.5,1
1788946140237375231,18.740649766,547.5,424.5,1
1788946140269056851,18.772331386,547.5,424.5,1
1788946140304994481,18.808269016,547.5,424.5,1
1788946140337107788,18.840382323,548.0,424.5,1
1788946140369020397,18.872294932000003,547.5,424.5,1
1788946140405554697,18.908829232000002,547.5,424.5,1
1788946140437226477,18.940501012000002,548.5,424.0,1
1788946140469611277,18.972885812,548.5,424.0,1
1788946140504914389,19.008188924000002,548.5,424.0,1
1788946140537242299,19.040516834,548.5,424.0,1
1788946140569177841,19.072452376,548.5,424.0,1
1788946140604978736,19.108253271000002,548.5,425.0,1
1788946140637135760,19.140410295000002,548.5,425.0,1
1788946140669054017,19.172328552,548.5,424.5,1
1788946140705124476,19.208399011,548.0,425.0,1
1788946140737352461,19.240626996,548.0,424.0,1
1788946140769129627,19.272404162,548.0,424.0,1
1788946140805058470,19.308333005,547.5,424.0,1
1788946140838812161,19.342086696000003,547.5,424.0,1
1788946140869054890,19.372329425,547.5,424.0,1
1788946140904890849,19.408165384,547.5,424.0,1
1788946140937030675,19.440305210000002,547.5,424.5,1
1788946140968932425,19.47220696,547.5,424.5,1
1788946141004972901,19.508247436,547.5,424.5,1
1788946141036940688,19.540215223,547.0,424.5,1
1788946141068972747,19.572247282000003,547.0,424.5,1
1788946141105032812,19.608307347,547.5,424.5,1
1788946141137251321,19.640525856,547.5,424.5,1
1788946141169060608,19.672335143,547.5,424.0,1
1788946141207660111,19.710934646000002,548.5,424.5,1
1788946141239663038,19.742937573000003,548.5,424.5,1
1788946141271236593,19.774511128,548.5,424.5,1
1788946141305006740,19.808281275000002,548.5,425.0,1
1788946141337173561,19.840448096000003,548.5,424.5,1
1788946141369245256,19.872519791000002,548.5,425.0,1
1788946141404930776,19.908205311,547.5,424.5,1
1788946141437096348,19.940370883,547.5,424.5,1
1788946141469137062,19.972411597,547.5,424.5,1
1788946141505111364,20.008385899,543.5,422.5,1
1788946141537098133,20.040372668,543.5,422.5,1
1788946141569216211,20.072490746,535.5,421.5,1
1788946141604915262,20.108189797,535.5,421.5,1
1788946141637190082,20.140464617000003,530.0,421.5,1
1788946141669028058,20.172302593,531.5,421.5,1
1788946141705032189,20.208306724,529.5,422.0,1
1788946141737165399,20.240439934,529.5,421.5,1
1788946141769278976,20.272553511,529.5,421.5,1
1788946141805396703,20.308671238000002,527.0,421.5,1
1788946141837327216,20.340601751,527.0,421.5,1
1788946141869021106,20.372295641,535.5,423.5,1
1788946141906001248,20.409275783000002,536.0,423.5,1
1788946141937260866,20.440535401,543.5,425.0,1
1788946141968909886,20.472184421,543.0,424.5,1
1788946142004980301,20.508254836000003,549.0,425.5,1
1788946142036970790,20.540245325,548.5,426.0,1
1788946142068849567,20.572124102,549.0,426.0,1
1788946142105005044,20.608279579,549.0,425.5,1
1788946142137263967,20.640538502000002,549.0,425.5,1
1788946142169001199,20.672275734000003,545.5,424.5,1
1788946142204959342,20.708233877,545.0,424.5,1
1788946142237127152,20.740401687000002,534.0,421.0,1
1788946142268927241,20.772201776000003,534.0,421.0,1
1788946142304824424,20.808098959000002,530.0,422.5,1
1788946142336975608,20.840250143000002,530.0,422.0,1
1788946142368954299,20.872228834,530.0,422.0,1
1788946142405005748,20.908280283,529.0,421.0,1
1788946142436957517,20.940232052000002,529.0,421.0,1
1788946142468940425,20.972214960000002,530.5,421.5,1
1788946142505013187,21.008287722000002,530.5,421.5,1
1788946142537076510,21.040351045,538.0,422.5,1
1788946142568807680,21.072082215000002,538.0,423.0,1
